programme;transaction;tp
PNDSMTLC;DSLC;derapprocherIndividu
PNDSMTLD;DSLD;restituerHistoriquePeriodeDs
PNDSMTLE;DSLE;enregistrerPeriode
PNDSMTLF;DSLF;presenterligneDs
PNDSMTLG;DSLG;getIndicateurPeriodeIsole
PNDSMTLK;DSLK;restitutionDetailIndividu
PNDSMTLL;DSLL;rechercherSignaletiqueligneDs
PNDSMTLO;DSLO;restituerLignesForcageMasse
PNDSMTLP;DSLP;restituerAnomaliesPeriodeDs
PNDSMTLQ;DSLQ;requalifierOPDS
PNDSMTLR;DSLR;rapprocherPeriodes
PNDSMTLS;DSLS;calculerMasseSalariale
PNDSMTLT;DSLT;restituerHistoriqueAnomalies
PNDSMTLU;#N/A;rechercherOperationsDS
PNDSMTLV;SN82;recupererIdentifiant
PNDSMTLW;SN81;recupererIdentifiantPeriode
PNDSMTLX;SN83;recupererIdentifiantProposition
PNDSMTMA;DSMA;enregistrerCriteresRgp
PNDSMTMB;DSMB;afficherListesCriteresRgp
PNDSMTMC;DSMC;confirmerRegroupement
PNDSMTMD;DSMD;modifierPerimetreRGP
PNDSMTME;DSME;restituerInfosCompletude
PNDSMTMF;DSMF;afficherHistorique
PNDSMTMG;DSMG;restituerDroitsBoutons
PNDSMTMH;DSMH;restituerPeriodesRgpIndividu
PNDSMTNF;DSNF;chargerCarriere
PNDSMTNG;DSNG;restituerDetailLc
PNDSMTNH;DSNH;restituerDetailLs
PNDSMTNI;DSNI;enregistrerCarriere
PNDSMTNK;DSNK;verifierAccesCarriere
PNDSMTNM;DSNM;validerLsEtRecalcul
PNDSMTNN;DSNN;alimenterDroits
PNDSMTNO;DSNO;preparerCreationLS
PNDSMTNP;SN80;restituerPopulationsAdherents
PNDSMTRM;DSRM;preparerVentilation
PNDSMTRN;DSRN;preparerCotisation
PNDSMTRO;DSRO;afficherVentilationSI
PNDSMTRP;DSRP;enregistrerModificationVentilationSI
PNDSMTRQ;DSRQ;validerCotisation
PNDSMTRR;DSRR;preparerCotisationManuelle
PNDSMTRS;DSRS;validerCotisationManuelle
PNDSMTW0;DSW0;presenterDetailOperationCompte
PNDSMTW1;DSW1;presenterIndicateursGestion
PNDSMTW2;DSW2;presenterOperationsDs
PNDSMTW3;DSW3;presenterCotisations
PNDSMTW4;DSW4;presenterCotisationsCommuniquees
PNDSMTW5;DSW5;presenterCommentaire
PNDSMTW6;DSW6;enregistrerCommentaire
PNDSMTW8;DSW8;restituerListeOpCpt
PNDSMTW9;DSW9;blocageManuel/deblocageManuel/forcerCommunicationDette
PNDSMTW9;DSW9;restitutionMiseAJourOperationCompte
PNDSMTWB;DSWB;presenterIndicateursGestionTier
PNDSMTWC;DSWC;rechercherOperationCompte
PNDSMTWD;DSWD;presenterCotisations
PNDSMTWE;DSWE;presenterCotisationsCommuniquees
PNDSMTWF;DSWF;presenterCotisationsCommuniqueesDette
PNDSMTXN;DSXN;editerJustif
PNGDMT01;GD01;rechercherDocuments
PNGDMT02;GD02;AnnulerDemande
PNGDMT03;GD03;DupliquerDocument
PNGDMT04;GD04;ReemissionDocument
PNGDMT05;GD05;StopNpai
PNGDMT06;GD06;StopRelance
PNGDMT07;GD07;rechercherSuiviEchangeEditique
PNGDMT08;GD08;getPMCarecteristiquesSystemeEditique
PNPMMT10;PM10;enregistrerSeuil
PNPMMT11;PM11;enregistrerSeuilLigne
PNPMMT12;PM12;enregistrerSeuilTiers
PNPMMT13;PM13;enregistrerDateComm
PNPMMT16;PM16;enregistrerChomagePartiel
PNPMMT17;PM17;enregistrerDureeTravail
PNPMMT18;PM18;enregistrerToleranceApprenti
PNPMMT19;PM19;enregistrerToleranceHorsApprenti
PNPMMT20;SN84;enregistrerEmetteurEchange
PNPMMT20;SN84;enregistrerEmetteurEchange 
PNPMMT28;PM28;enregistrerComportementAnomalies
PNPMMT30;PM30;enregistrerAnomaliePreQualification
PNPMMT33;PM33;enregistrerSeuilCodeTypeGestionUEC
PNPMMT35;PM35;enregistrerSeuilCodeTypeGestionUED
PNPMMT37;PM37;enregistrerAideResolution
PNPMMTH3;PMH3;enregistrerTraitementEtCriteres
PNPMMTH5;PMH5;enregistrerStructure
PNPMMTH7;PMH7;enregistrerConversion
PNPMMTHA;PMHA;controlerCoherenceConversion
PNPMMTHB;PMHB;lireParametrage
PNPMMTTS;PMTS;supprimerTS
PNPNMT01;PN01;chargementCriteres
PNPNMT02;PN02;constitutionTableauxBord
PNPNMT03;PN03;chargementLignesFichier
PPDPSV01;PL01;modifierEtatMetierCHLOE
PPDPSV02;PL02;lireTypesTraitementCHLOE
PPDPSV03;PL03;lireParametrageEtatsMetiersCHLOE
PPDPSV04;PL04;lireParametrageCHLOE
PPDPSV05;PL05;rechercherEtatsMetiersCHLOE
PPGASV20;PG01;rechercherEGLiquidateur/rechercherNomLiquidateur
PPGASV21;PG02;rechercherFluxPRC/rechercherIdentifiantsTechniquesFluxPRC
PPGASV22;PG03;lireDPRIndividu
PPGASV23;PG04;lireReferencesDPR
PPGASV24;PG05;modifierInfosFiscales
PPGASV25;PG06;validerInfosFiscales
PPGASV29;PG07;lireListeDPR
PPGASV30;PG08;lireFluxPRC
PPGASV35;PG09;ecrireFluxCourt/ecrireFluxLong
PPGASV36;PG10;lireFluxCourt/lireFluxLong
PPGASV37;PG11;enregistrerAccuseReceptionFlux
PPGASV38;PG12;rechercherIndividus/rechercherDPRCriteres
PPGASV39;PG13;modifierFluxPRC
PPGASV40;SP59;lireDRDPR
PPGASV43;PG14;lireDroitsInscritsDPR
PPGASV44;PG15;lireDroitsAServirDPR
PPGASV45;PG16;lireSynthesePCPeriodeDroits
PPGASV51;PG17;lireMajoration
PPGASV52;PG18;lireSyntheseTranchePoint
PPGASV53;PG19;rechercherNombreEnfants
PPGASV54;PG20;lireDonneeFlux
PPGASV55;PG21;modifierHomonymie
PPGASV56;PG22;lireSyntheseIndividu/lireMoyenPaiement/lireDonneesHomonymie
PPGASV57;PG23;lireListeHistoriqueRelationsMandataires
PPGASV65;PG24;rattacherDestinataire
PPGASV71;PG25;lireListeLibelleAdresseBanque/lireListeLibelleAdresseBanqueMDP
PPGASV73;PG26;modifierModaliteEtMoyenPaiement
PPGASV74;PG27;lireModaliteMoyenPaiementDPR
PPGASV75;PG28;lireReferencesDPR
PPGASV76;PG29;lireModaliteMoyenPaiementTiersMandataire
PPGASV78;PG97;lireBandeauIndividuDPR
PPGASV79;PG30;modifierRelationMandataire
PPGASV88;PG31;lireAdresse
PPGASV89;PG32;lireInfosFiscales/lireSituationTiersReglementaire
PPGASV93;PG33;lireEvenements
PPGASV95;PG34;lireTrace/lireDetailTrace
PPGASVA3;PG35;lireListeDPR
PPGASVB0;PG98;detecterTachesInduites
PPGASVB3;SP60;rechercherEnquetes
PPGASVB5;PG36;lireDestinataires
PPGASVB6;PG37;creerEnquetes
PPGASVB8;PG38;modifierEnquetes
PPGASVB9;PG39;lireMoyensPaiement
PPGASVC0;PG40;lireEnfantsACharge
PPGASVC1;PG41;lirePJ
PPGASVC5;PG42;creerPJ
PPGASVC6;PG43;modifierPJ
PPGASVD6;PG44;lireParametrageTypePJ
PPGASVE1;PG99;executerTachesInduites
PPGASVG0;PG45;modifierReferenceCaisse
PPGASVG7;PG46;lireListeDPR
PPGASVG8;PG47;lireListePPT
PPGASVH0;PG48;validerPPT
PPGASVH1;PG49;modifierPPT
PPGASVI0;PG50;lireDroitsOuvrantDroitEtDPR
PPGASVI1;PG51;supprimerDroits
PPGASVI3;PG52;modifierDroits
PPGASVI5;PG53;lireVentilationDroits
PPGASVI7;PG54;calculerDroits
PPGASVI9;PG55;enregistrerDroits
PPGASVJ7;PG56;lireHistoriqueRelationTiersPayeur
PPGASVJ8;PG57;modifierRelationTiersPayeur
PPGASVK1;PG58;lireDPRBeneficiaire
PPGASVK5;PG59;rechercherDPREnCours
PPGASVK6;PG60;lireInfosDPR
PPGASVK7;PG61;enregistrerInfosDPR
PPGASVK8;PG62;lireInfosDroits
PPGASVK9;PG63;calculerDroits
PPGASVKA;PG64;lireInfosRelationConventionTiersPayeur
PPGASVL0;PG65;enregistrerInfosDroits
PPGASVL1;PG66;lireAnomalies
PPGASVL2;PG67;enregistrerDossier
PPGASVL3;PG68;validerDossier
PPGASVM5;PG69;lireDroitsOuvrantDroitEtDPR
PPGASVM6;PG70;supprimerDroits
PPGASVM7;PG71;modifierDroits
PPGASVM8;PG72;lireVentilationDroits
PPGASVM9;PG73;calculerDroits
PPGASVN0;PG74;enregistrerDroits
PPGASVN6;PG75;lireInfosDossier
PPGASVO2;PG76;lireOuvrantDroitEtBeneficiaires
PPGASVO3;PG77;validerReversion
PPGASVO4;PG78;rejeterReversion
PPGASVO5;PG79;calculerCoefficients
PPGASVO6;PG80;calculerReversion
PPGASVO7;PG81;lireConditionsOuvertureDroits
PPGASVO8;PG82;verifierConditionOuvertureDroits
PPGASVO9;PG83;lireDetailsReversion
PPGASVP0;PG84;supprimerDroits
PPGASVP6;PG85;rechercherInstitutionsOrigineDroits
PPGASVP7;PG86;rechercherIndividuCriteres
PPGASVQ5;PG87;lireAnomaliesFluxPRC
PPGASVR1;PG88;lireInfosTache
PPGASVR2;PG89;lireCompteurs
PPGASVS5;PG90;lireDroitsDPR
PPGASVS8;PG91;modifierPeriodicite
PPGASVT2;PG92;lirePeriode
PPGASVT3;PG93;validerPeriode
PPGASVT4;PG94;modifierPeriode
PPGASVT6;PG95;lireProfondeurEngagement
PPGASVT7;PG96;modifierProfondeurEngagement
PPGESV12;PE01;lireLotEncaissement
PPGESV14;PE02;modifierEntreeDeFonds/modifierSortieDeFonds
PPGESV20;PE03;rechercherIndividuParFluxFinancier
PPGESV21;PE04;emettreAttestationPaiement
PPGESV22;PE05;rechercherEngagement
PPGESV30;PE06;rechercherLotsEncaissement
PPGESV31;PE07;lireModelePAR
PPGESV33;PE08;calculerEcheancier/recalculerEcheancier
PPGESV35;SP61;lireDestinataires
PPGESV37;PE09;lireActionRecouvrement
PPGESV38;PE10;lireRemboursementEffectue
PPGESV45;PE11;lireSyntheseDPR
PPGESV46;PE12;lireEcritureElementaire
PPGESV47;PE13;lireEcritureTiersReglementaire
PPGESV48;PE14;lireEngamentIndu
PPGESV49;PE15;lireDetailFluxFinancier
PPGESV50;PE16;rechercherEcrituresGestion
PPGESV51;PE17;rechercherFluxFinancier
PPGESV52;PE18;lireHistoriqueStatut
PPGESV71;PE19;rechercherSortiesFonds
PPGESV72;PE20;modifierSortieFonds
PPGESV74;PE80;rechercherIdAgentPayeur
PPGESV75;PE21;rechercherLotDecaissement
PPGESV76;PE22;validerLotDecaissement
PPGESV77;PE23;rechercherDemandes
PPGESV79;PE24;modifierDemandes
PPGESV82;PE25;validerIdAllocataire
PPGESV84;PE26;rechercherMoyenPaiementInstitution
PPGESV86;PE27;creerDeclarationExterne/creerModifierDeclarationExterne/modifierDeclarationExterne
PPGESV87;PE28;lireDeclarationIntermediaire
PPGESV88;PE29;rechercherEntreesDeFonds
PPGESV89;PE30;lireRemboursement
PPGESV91;PE31;lirePaiementDeclarationExterne
PPGESV92;PE32;lireDemandePriseFonds
PPGESV93;PE33;lireSyntheseDeclarationsExternes
PPGESV94;PE34;rechercherDeclarationsIntermediaires
PPGESV95;PE35;creerTache
PPGESV96;PE36;lireDeclarationExterne
PPGESV98;PE37;rechercherCrediteurs
PPGESV99;PE38;rechercherDebiteurs
PPGESVB1;PE39;modifierLotEncaissement
PPGESVB4;PE40;lireEntreeFondsEtPAR
PPGESVB5;PE41;modifierPAR
PPGESVB6;PE42;annulerPAR
PPGESVB7;PE43;modifierStatutPAR
PPGESVB8;PE44;creerModifierDemandePriseFonds
PPGESVB9;PE45;lireSynthesePAR
PPGESVC1;PE46;lireProcedureRecouvrement
PPGESVC2;PE47;lirePAR
PPGESVC4;PE48;lirePlanRemboursement
PPGESVC5;PE49;creerModifierActionRecouvrement
PPGESVC6;PE50;creerPAR
PPGESVC7;PE51;creerModifierPlanRemboursement
PPGESVC8;PE52;lireHistoriqueStatutPAR
PPGESVC9;PE53;verifierRoleEtPensionAllocataire
PPGESVD1;PE54;lireAttestations
PPGESVD2;PE55;lireDestinataires
PPGESVD3;PE56;emettreAttestationFiscale
PPGESVD4;PE57;verifierTiersDestinataire
PPGESVD5;PE58;rechercherHistoriqueAttestations
PPGESVD6;PE59;rechercherSortiesDeFonds
PPGESVE5;PE60;lireEngagements
PPGESVE6;PE61;rechercherInfosEngagementOrigine
PPGESVE7;PE62;calculerAllocationDPR
PPGESVE8;PE63;rechercherFluxFinanciersAVP
PPGESVE9;PE64;calculerAvancePaiement
PPGESVF0;PE65;rechercherFluxFinanciersHOM
PPGESVF1;PE66;calculerHomonymie
PPGESVF2;PE67;rechercherFluxFinanciersRED
PPGESVF3;PE68;calculerRedistribution
PPGESVF4;PE69;enregistrerOD
PPGESVF5;PE70;annulerOD
PPGESVG0;PE71;lireEngagements
PPGESVG1;PE72;rechercherInfosEngagementOrigine
PPGESVG2;PE73;calculerAllocationDPR
PPGESVG3;PE74;annulerOD
PPGESVG4;PE75;enregistrerOD
PPGESVG5;PE76;calculerNombreTotalPoints
PPGESVH0;PE77;lireEntreesDeFonds
PPGESVH1;PE78;modifierTropPercu
PPGESVH2;PE79;lireMpp
PPSPSV06;SP62;lireAgregat
PRCOSV01;RO01;ajouterMDP
PRCOSV02;RO02;modifierMDP
PRCOSV04;RO04;restituerMDP
PRCOSV05;RO05;mettreAJourAdresse
PRCOSV07;RO07;restituerAdresse
PRCOSV10;RO10;restituerDonneesInterlocution
PRCOSV11;RO11;mettreAJourDonneesInterlocution
PRCOSV15;RO15;controlerAdresse
PRCOSV16;RO16;fermerMDP
PRCOSV17;RO17;restituerHistoriqueAdresse
PRCOSV18;RO18;restituerHistoriqueMDP
PRCOSV28;RO28;restituerLibelleCommune
PRCOSV29;RO29;restituerNbreLignesTrcozfa
PRCOSV40;RO40;restituerAbreviationLibelleVoie
PRCOSV41;RO41;restituerCodePaysValide
PRCOSV44;RO44;controleFormatIdentifiant
PRCOSV45;RO45;restituerAdresseAnticipe
PRCOSV46;RO46;RestituerMDPHistorise
PRCOSV47;RO47;restituerLibelleAdresseBanque
PRCOSV48;RO48;restituerAdressePertinenteAllocataire
PRCOSV49;RO49;restituerAdressesSecondaires
PRCOSV4C;RO4C;restituerCodePaysIso
PRCOSV50;RO50;VerifierAdhesionTelereglementMDP
PRCOSV70;RO70;formatageDonnees
PRCOSV80;RO80;restituerAdresseIndividuAnnule
PRCOSV81;RO81;restituerDonneesInterlocutionIndividuAnnule
PRENSV01;EN01;creerEntreprise
PRENSV02;EN02;restituerListeEtablissementEntreprise
PRENSV04;EN04;restituerEntrepriseEtablissement
PRENSV06;EN06;mettreAJourSommeilEnqueteEntreprise
PRENSV07;EN07;restituerPeriodesDirigeants
PRENSV09;EN09;restituerSommeilEntreprise
PRENSV12;EN12;modifierEntreprise
PRENSV13;EN13;mettreAJourCycleDeVie
PRENSV16;EN16;creerEtablissement
PRENSV17;EN17;modifierEtablissement
PRENSV1N;EN1N;controlerPropagationNAF
PRENSV21;EN21;modifierGroupe
PRENSV23;EN23;controlerHabilitationEntreprise
PRENSV24;EN24;mettreAJourLienInterlocuteur
PRENSV25;EN25;restituerGroupeEntreprise
PRENSV26;EN26;restituerCycleVieEntrepriseEtablissement
PRENSV27;EN27;rechercherGroupe
PRENSV28;EN28;restituerLienInterlocutionDefaut
PRENSV29;EN29;restituerLienInterlocuteur
PRENSV30;EN30;controlerDonneesPrincipalesEtablissement
PRENSV32;EN32;restituerHistoriqueIDExterneEtab
PRENSV34;EN34;restituerDonneesBandeau
PRENSV35;EN35;supprimerAdherent
PRENSV37;EN37;restituerListeIdentifiantsAdherent
PRENSV38;EN38;controlerOperationJuridiqueOut
PRENSV39;EN39;restituerListeTypeIdentifiantEntreprise
PRENSV40;EN40;supprimerEntreprise
PRENSV44;EN44;restituerAdherent
PRENSV45;EN45;restituerListeIdentifiantsAutres
PRENSV46;EN46;restituerHistoriqueSiegeSocial
PRENSV49;EN49;restituerHistoriqueEnseigneEtablissement
PRENSV4E;EN4E;verifierIdentifiantEntreprise
PRENSV4T;EN4T;verifierIdentifiantEtablissement
PRENSV50;EN50;restituerHistoriqueNAFEtablissement
PRENSV51;EN51;restituerHistoriqueCCNEtablissement
PRENSV52;EN52;restituerHistoriqueSyndicatProfessionnel
PRENSV55;EN55;mettreAJourAdherent
PRENSV60;EN60;restituerHistoriqueActiviteEntreprise
PRENSV61;EN61;restituerHistoCategJuridiqueEntreprise
PRENSV62;EN62;restituerHistoFormeJuridiqueEntreprise
PRENSV63;EN63;restituerHistoriqueSigleEntreprise
PRENSV64;EN64;restituerHistoRaisonSocialeEntreprise
PRENSV66;EN66;controlerDonneesPrincipalesEntreprise
PRENSV67;EN67;mettreAJourUnLienDirigeantSalarie
PRENSV69;EN69;ControlerDonneesAdherent
PRENSV6B;EN6B;rechercherLienGroupePourFermeture
PRENSV75;EN75;mettreAJourIdentifiantAutreEntreprise
PRENSV76;EN76;mettreAJourIdentifiantAutreEtablissement
PRENSV79;EN79;controlerCycleDeVie
PRENSV80;EN80;mettreAJourLienInterlocutionParDefaut
PRENSV82;EN82;restituerSignaletiqueTechnique
PRENSV84;EN84;restituerCorrespondanceNAFAncien
PRENSV85;EN85;restituerCritereEntrepriseAderente
PRENSV88;EN88;restituerListeEtablissementAdresse
PRENSV89;EN89;restituerSiegeSocialAdherent
PRENSV98;EN98;restituerCycleVieEntreprise
PRENSV99;EN99;restituerListeCodeCycleVie
PRENSVER;ENER;restituerSecteurProfessionnel
PRINSV01;IN01;creerIndividu
PRINSV02;IN02;modifierIndividu
PRINSV03;IN03;restituerIndividu
PRINSV0B;IN0B;restituerOptionGestionIndividu
PRINSV13;IN13;creerLienFamilialOut
PRINSV14;IN14;modifierLienFamilial
PRINSV15;IN15;restituerListeLienFamilial
PRINSV16;IN16;controlerHabilitationsIndividu
PRINSV17;IN17;controlerAnnulerIndividu
PRINSV18;IN18;restituerDonneesCertificationIndividu
PRINSV24;IN24;restituerAnomalieAdeleNonTraite
PRINSV25;IN25;mAJInformationAdeleSuiteAnomalie
PRINSV28;IN28;restituerFusion
PRINSV29;IN29;restituerFusionTousNiveaux
PRINSV34;IN34;restituerLienInterlocuteur
PRINSV35;IN35;mettreAJourLienInterlocuteurIndividu
PRINSV36;IN36;restituerListeTypeIdentifiantRegime
PRINSV37;IN37;restituerIdentifiantsIndividu
PRINSV38;IN38;restituerSignaletiqueReduiteIndividu
PRINSV39;IN39;mettreAjourDonneesCertification
PRINSV40;IN40;restituerListeRoleIndividu
PRINSV41;IN41;restituerListeRolesIndividu41
PRINSV42;IN42;controlerSignaletiqueIndividu
PRINSV44;IN44;controlerFusion
PRINSV51;IN51;restituerHistoriqueIndividu
PRINSV53;IN53;executerAnnulationIndividu
PRINSV55;IN55;controlerDemandeFusionBatch
PRINSV57;IN57;controlerFusionnerIndividu
PRINSV58;IN58;executerFusionnerIndividu
PRINSV59;IN59;restituerDonneeHistoriqueIndividu
PRINSV80;IN80;restituerDonneesIndividuAnnule
PRINSV81;IN81;restituerDonneesPrestationIndividuOut
PRINSV82;IN82;mettreAJourDonneesPrestationIndividu
PRINSV83;IN83;restituerHistoriqueListeLienFamilial
PRINSV84;IN84;annulerLienFamilial
PRINSV86;IN86;restituerListeLienFamilial2Individu
PRINSV87;IN87;controlerRessourcePrestation
PRINSV93;IN93;restituerRoleIndividuAnnule
PRINSVOG;INOG;testNIRDouble
PRLOSV01;LO01;creerInterlocuteur
PRLOSV02;LO02;modifierInterlocuteur
PRLOSV03;LO03;restituerInterlocuteur
PRLOSV04;LO04;fermerInterlocuteur
PRLOSV06;LO06;restituerHistoriqueInterlocuteur
PRLOSV30;LO30;controlerHabilitationsInterlocuteur
PRMRSV03;MR03;rechercheIndividu
PRMRSV05;MR05;rechercheEntreprise
PRMRSV08;MR08;rechercheTiers
PRMRSV10;MR10;rechercheInterlocuteur
PRMRSV3P;MR3P;rechercheIndividuPerf
PRMRSVPC;MRPC;restituerParametreEtCollection
PRPTSV01;PT01;listerInstitution
PRPTSV02;PT02;restituerAdresseInstitution
PRPTSV03;PT03;restituerRegimeRetraite
PRPTSV04;PT04;restituerSalaireReference
PRPTSV05;PT05;restituerMoisCalendaire
PRPTSV06;PT06;restituerValeurPlafond
PRPTSV07;PT07;restituerValeurTVA
PRPTSV08;PT08;restituerValeurPoint
PRPTSV20;PT20;restituerTauxDevise
PRPTSV31;PT31;restituerInstitution
PRPTSV32;PT32;restituerInstitutionURCREP
PRPTSV33;PT33;restituterMentionLegale
PRPTSV34;PT34;restituerSalaireReferenceNew
PRPTSV36;PT36;restituerValeurPlafondNew
PRPTSV41;PT41;restituerInstitution2
PRPTSV61;PT61;listerInstitutionNew
PRPTSV62;PT62;listerInstitutionRelais
PRPTSV64;PT64;listerSalaireReference
PRPTSV66;PT66;listerValeurPlafond
PRPTSV71;PT71;listerInstitution2
PRPTSV72;PT72;listerInstitutionAllocataire
PRPTSV73;PT73;restituerInstitutionAllocataire
PRPTSV74;PT74;restituerAdresseInstitutionAllocataire
PRTISV01;TI01;restituerTiers
PRTISV02;TI02;creerTiers
PRTISV03;TI03;modifierTiers
PRTISV04;TI04;fermerTiers
PRTISV09;TI09;creerRoleTiers
PRTISV0B;TI0B;rechercheCodeFamilleSEPA
PRTISV10;TI10;fermerRoleTiers
PRTISV12;TI12;modifierRoleTiers
PRTISV18;TI18;restituerHistoriqueTiers
PRTISV80;TI80;restituerNatureFamilleTiers
PRTISV81;TI81;restituerFamilleTypeTiers
PRTISV99;TI99;restituerListeRoleTiersParType
PXLCMT01;G500;rechercherPiecesECD
PXLCMT02;G502;rechercherLignesDetailsPiecesECD
PXLCMT03;G503;visualiserPi�ceECDEtLignesDetailsECD
PXLCMT04;G501;visualisationDetailsligneECD
PXLCMT05;G504;rechercherListeLibelles
PYSYSG01;YY01;wsCreerDemandeSynchronisation
PYSYSG02;YY02;wsAcquitterNotificationSynchronisation
PYSYSG03;YY03;wsRecyclerErreur
PYSYSV02;YY02;acquitterNotificationSynchronisation
PYSYSV03;YY03;recyclerErreur
PYSYSV04;YY04;restituerNotification
PYSYSV13;YY13;controlerHabilitation
PYSYSV14;YY14;restitutionCouplesSystemeApplication
PYSYSV15;YY15;restituerListeAnomalies
PYSYSV16;YY16;rechercherDemande
PZ00SV27;0V27;restituerNivTracePourUtilsateur
PZ00SVDV;0VDV;restituerDV
PZ00SVE0;0VE0;rechercheJobsTermines
PZ00SVE1;0VE1;chargerListeCompteRendu
PZ00SVE2;0VE2;chargerListeAnomalie
PZ00SVE3;0VE3;detailAnomalie
PZ00SVE6;0VE6;lireListeCompteurAnomalieFonctionnelle
PZ00SVQM;0VQM;resoudreQuiMaj
PZ00SVSJ;0VSJ;rechercheJobsEnCours
PZGSSV20;SZ72;lireSequenceUtilisateur
PZGSSV24;SZ73;lireParamIntegrationUsineRetraite
PZGSSV25;SZ74;lireParamSessionSecurite
PZGSSV26;ZS26;lireParamLDAP
PZGSSV27;SZ75;lireParamSAML
PZGSSV28;SZ76;lireParamSecurite
PZPASV28;ZA28;lireParametresTechniques
